,social_assit,pharmaceutical,general_surgeon,general_practitioner,nurse,physiotherapist,gynecologist,family_physician,Nutricionista,pediatrician
210920,-,-,-,2,9,1,-,3,-,-
210923,-,1,-,1,4,-,-,3,1,-
210927,-,-,-,-,8,2,-,5,1,-
210930,1,-,-,-,10,2,-,-,2,-
210940,1,1,-,-,8,3,-,2,1,-
210945,2,1,-,7,23,2,-,2,3,1
210950,1,1,-,3,10,2,-,3,-,-
210955,-,1,-,2,6,1,-,2,1,-
210960,2,2,-,7,32,6,-,9,2,-
210970,-,1,-,1,1,-,-,1,1,-
210975,-,1,-,3,8,2,-,2,1,-
210980,2,-,-,-,17,4,-,8,3,1
210990,16,11,2,18,106,33,1,16,13,7
211000,3,5,-,6,46,7,-,11,3,1
211003,4,3,-,8,28,8,1,2,3,1
211010,2,1,-,1,15,4,-,6,3,-
211020,1,2,1,3,45,4,-,10,2,1
211023,-,1,-,3,6,2,-,-,1,-
211027,1,1,-,-,6,1,-,2,-,-
211030,2,-,-,4,12,4,-,3,2,1
211040,-,-,-,1,13,2,-,4,-,-
211050,1,-,-,4,18,4,-,11,2,-
211060,2,1,-,4,17,4,-,6,3,1
211065,-,-,-,2,4,1,-,1,1,-
211070,3,4,-,3,24,8,-,7,2,-
211080,-,1,-,2,5,1,-,2,1,-
211085,1,-,-,-,4,1,-,-,1,-
211090,1,-,1,5,14,2,-,3,1,-
211100,-,-,-,1,6,2,-,1,1,-
211102,1,-,-,-,14,1,-,4,1,-
211105,1,-,-,1,9,-,-,4,1,-
211107,3,-,-,5,17,10,-,2,1,-
211110,7,3,-,10,38,7,-,3,5,-
211120,16,23,-,62,246,35,5,28,9,11
211125,-,1,-,-,6,2,-,3,1,-
211130,470,296,77,617,2704,710,141,76,312,281
211140,2,2,-,1,15,2,-,2,2,-
211150,6,-,-,4,29,3,-,5,3,-
211153,-,1,-,-,10,1,-,2,-,-
211157,1,2,-,1,4,-,-,1,-,-
211160,1,3,1,1,14,2,-,4,2,-
211163,1,1,-,2,6,1,-,-,-,-
211167,-,-,-,-,5,1,-,-,1,-
211170,2,2,-,1,10,2,-,4,1,-
211172,1,-,-,-,15,3,-,2,3,-
211174,-,1,-,1,5,1,-,3,1,1
211176,2,1,-,-,17,1,-,4,1,-
211178,1,1,-,-,9,-,-,2,-,-
211180,3,1,-,-,18,1,-,6,1,-
211190,1,2,-,2,5,2,-,3,1,-
211195,-,-,-,1,7,-,-,2,3,-
211200,1,-,-,1,7,2,-,2,-,-
211210,4,1,-,3,36,2,-,5,3,-
211220,34,11,4,71,148,50,17,41,21,11
211223,1,1,-,2,18,2,-,2,3,-
211227,-,-,-,3,3,1,-,2,1,-
211230,1,-,-,6,27,4,-,5,8,-
211240,1,-,1,-,7,-,-,3,-,-
211245,-,-,-,1,5,-,-,4,-,-
211250,1,1,1,4,27,3,-,3,1,-
211260,1,1,-,-,19,3,-,6,1,-
211270,5,3,-,3,32,5,-,5,2,-
211280,2,-,2,6,43,11,-,-,6,4
211285,-,1,-,2,6,1,-,3,-,-
211290,2,1,-,4,23,4,-,1,2,-
211300,1,2,-,3,25,2,-,5,4,-
211400,6,5,-,5,29,6,-,8,7,-
220005,-,1,-,2,3,1,-,-,1,-
220010,-,-,-,2,7,3,-,1,1,-
220020,4,1,-,6,23,9,-,6,3,1
220025,1,-,-,1,7,1,-,2,1,-
220027,-,1,-,-,3,3,-,2,2,-
220030,1,1,-,2,10,4,1,5,1,-
220040,6,2,-,15,48,17,-,13,6,-
220045,-,1,-,2,5,2,-,-,1,-
220050,1,-,-,8,17,6,-,6,2,-
220060,1,1,-,4,8,3,-,1,1,-
220070,-,1,-,-,10,3,-,2,1,-
220080,-,1,-,-,4,1,-,2,1,-
220090,-,-,-,1,4,3,-,-,1,-
220095,-,-,-,-,3,1,-,-,1,-
220100,1,-,-,-,4,2,-,-,1,-
220105,-,-,-,1,4,3,-,1,1,-
220110,1,-,-,3,12,1,-,5,2,-
220115,-,1,-,4,12,4,-,3,2,-
220117,1,-,-,-,3,2,-,1,1,-
220120,5,3,2,13,52,17,2,14,6,-
220130,-,-,-,-,2,-,-,2,1,-
220140,-,-,-,4,7,2,-,-,1,-
220150,2,-,-,4,19,7,-,9,2,-
220155,-,1,-,1,3,1,-,-,1,-
220157,-,-,-,2,2,1,-,-,1,-
220160,1,-,-,2,9,2,-,3,2,-
220170,-,1,-,-,6,2,-,3,1,-
220173,-,-,-,1,2,1,-,3,1,-
220177,-,-,-,-,3,3,-,1,1,-
220180,1,-,-,3,7,1,-,-,3,-
220190,9,5,2,24,53,17,1,3,9,2
220191,1,-,-,1,5,1,-,-,1,-
220192,1,-,-,-,2,1,-,1,1,-
220194,-,-,-,2,3,4,-,1,1,-
220196,1,-,-,3,8,4,-,3,1,-
220198,-,1,-,-,3,2,-,-,1,-
220200,4,1,-,5,15,7,-,6,2,1
220202,-,1,-,1,5,2,-,2,1,-
220205,-,-,-,-,5,3,-,-,1,-
220207,1,-,-,-,6,3,-,-,1,-
220208,-,-,-,-,6,2,-,1,1,-
220209,1,-,-,3,4,2,-,-,1,-
220210,-,1,-,-,2,1,-,-,1,-
220211,-,-,-,2,3,1,-,2,1,-
220213,-,-,-,2,3,1,-,-,1,-
220217,1,-,-,1,5,1,-,1,1,-
220220,15,3,1,29,85,33,3,10,18,4
220225,1,-,-,-,3,1,-,1,2,-
220230,7,3,-,5,21,12,-,2,4,-
220240,1,-,-,3,9,1,-,3,1,-
220245,-,-,-,2,4,2,-,-,-,-
220250,2,-,-,1,4,2,-,3,1,-
220253,-,1,-,-,4,2,-,-,1,-
220255,1,-,-,2,2,1,-,1,-,1
220260,1,-,-,5,18,6,-,1,2,4
220265,-,-,-,-,2,3,-,1,1,-
220270,2,1,-,4,28,10,-,9,4,1
220271,1,-,-,1,5,-,-,1,1,-
220272,-,-,-,1,8,3,-,2,2,-
220273,-,-,-,2,4,2,-,-,1,-
220275,-,-,-,-,5,3,-,2,-,-
220277,1,1,-,1,6,3,-,-,2,-
220280,-,-,-,-,3,2,-,1,1,-
220285,-,-,-,-,1,1,-,-,-,-
220290,4,4,-,17,36,3,-,6,1,1
220300,-,2,-,-,4,1,-,5,1,-
220310,2,1,-,2,8,3,-,1,1,-
220320,-,2,-,5,8,4,-,3,1,-
220323,-,-,-,1,2,1,-,-,-,-
220325,-,-,-,2,3,2,-,-,-,-
220327,-,1,-,2,3,1,-,2,1,-
220330,1,-,-,3,18,6,-,3,3,-
220335,1,-,-,-,6,3,-,2,1,-
220340,1,-,-,-,3,1,-,2,1,-
220342,-,-,-,2,3,1,-,1,-,-
220345,1,1,-,2,8,2,-,4,1,-
220350,3,-,-,6,13,8,-,1,3,-
220360,-,-,-,-,4,2,-,1,1,-
220370,8,1,-,14,51,9,1,12,6,1
220375,-,1,-,-,3,2,-,-,-,-
220380,-,-,-,-,2,2,-,1,1,-
220385,-,-,-,3,1,1,-,-,1,-
220390,25,13,2,41,166,76,4,13,19,14
220400,-,-,-,-,4,2,-,2,1,-
220410,1,1,-,-,6,-,-,1,-,-
220415,1,-,-,1,4,1,-,2,1,-
220420,-,-,-,1,5,3,-,-,2,-
220430,1,2,-,4,8,4,-,3,2,-
220435,-,1,-,2,4,2,-,3,1,-
220440,1,-,-,1,9,2,-,3,2,-
220450,2,1,-,2,18,5,-,-,1,2
220455,-,-,-,-,3,1,-,2,-,-
220460,-,-,-,-,2,2,-,1,1,-
220465,-,-,-,-,2,3,-,3,2,-
220470,2,1,-,1,16,5,-,5,2,-
220480,-,1,-,5,9,2,-,4,1,-
220490,1,1,-,3,9,2,-,1,1,-
220500,1,1,-,2,6,2,-,2,2,-
220510,1,1,-,4,19,7,-,1,1,-
220515,1,-,-,2,6,3,-,2,1,-
220520,2,2,-,7,14,5,-,2,2,-
220525,1,-,-,1,3,-,-,-,1,-
220527,-,-,-,-,3,-,-,2,2,-
220530,-,-,-,1,3,-,-,1,-,-
220535,-,-,-,1,6,1,-,-,1,-
220540,-,-,-,3,10,2,-,2,1,-
220545,-,-,-,1,4,1,-,1,1,-
220550,7,1,-,8,29,15,-,11,6,-
220551,-,-,-,-,3,-,-,2,1,-
220552,-,1,-,2,3,2,-,-,2,-
220553,-,1,-,1,3,2,-,-,-,-
220554,-,-,-,-,1,1,-,1,1,-
220555,-,-,-,5,7,2,-,1,-,-
220556,-,-,-,-,5,1,-,2,1,-
220557,-,-,-,-,4,2,-,-,1,-
220558,-,-,-,1,3,1,-,-,-,-
220559,-,-,-,1,1,2,-,2,2,-
220560,-,-,-,2,4,1,-,1,1,-
220570,7,-,-,9,25,12,-,8,3,-
220580,3,3,-,2,32,7,-,5,2,-
220585,-,1,-,1,4,3,-,2,1,-
220590,-,1,-,1,4,2,-,2,2,-
220595,3,2,-,9,9,4,-,3,2,-
220600,-,-,-,1,5,2,-,1,-,-
220605,-,-,-,-,3,2,-,1,1,-
220610,-,-,-,1,6,2,-,4,-,-
220620,2,3,-,2,22,4,-,8,3,-
220630,-,-,-,3,7,1,-,1,-,-
220635,-,1,-,-,3,1,-,2,-,-
220640,1,-,-,2,8,3,-,2,1,-
220650,1,-,-,1,8,2,-,2,1,-
220660,-,-,-,-,7,1,-,4,1,-
220665,1,-,1,-,3,1,-,2,2,-
220667,-,-,-,1,6,1,-,3,1,-
220669,-,-,-,-,5,2,-,2,1,-
220670,-,2,-,2,6,2,-,3,1,-
220672,1,1,-,2,12,2,-,3,-,-
220675,-,-,-,2,4,2,-,-,2,-
220680,1,-,-,2,6,3,-,-,1,-
220690,1,-,-,-,5,1,-,2,-,-
220695,1,-,-,1,6,1,-,1,1,-
220700,12,2,1,35,69,19,1,3,7,1
220710,-,-,-,1,2,1,-,-,-,-
220720,1,-,-,2,4,1,-,-,1,-
220730,1,-,-,1,4,2,-,1,1,-
220735,-,1,-,-,4,1,-,1,1,-
220740,1,-,-,1,4,1,-,-,-,-
220750,1,-,-,2,15,3,-,3,1,-
220755,-,-,-,-,1,1,-,-,1,-
220760,1,1,-,4,12,2,-,4,2,-
220770,23,15,6,120,239,124,18,24,35,24
220775,-,-,-,-,1,1,-,1,1,-
220777,-,1,-,-,3,1,-,2,1,-
220779,1,1,-,2,3,2,-,-,2,-
220780,7,1,-,14,27,11,-,4,4,-
220785,-,-,-,1,3,-,-,2,1,-
220790,5,1,1,6,34,14,1,5,5,1
220793,-,-,-,-,1,2,-,-,1,-
220795,-,-,-,-,2,1,-,-,1,-
220800,32,47,8,84,152,103,3,17,30,20
220810,2,2,-,1,13,8,-,3,4,-
220820,-,-,-,2,13,6,-,4,1,-
220830,2,1,-,1,15,7,-,6,2,-
220840,30,10,3,23,118,50,5,12,9,2
220850,1,-,-,4,11,3,-,4,1,-
220855,-,-,-,1,2,2,-,1,1,-
220860,-,1,-,1,5,1,-,2,1,-
220865,-,-,-,-,3,2,-,1,-,-
220870,-,-,-,1,6,-,-,1,-,-
220880,2,1,-,3,17,2,-,8,2,-
220885,-,1,-,-,3,1,-,1,1,-
220887,-,-,-,-,1,-,-,2,1,-
220890,-,-,-,1,4,2,-,3,1,-
220900,-,-,-,-,7,3,-,1,1,-
220910,-,1,-,1,5,1,-,-,2,-
220915,-,-,-,-,3,1,-,-,1,-
220920,-,-,-,-,5,1,-,3,-,-
220930,-,-,-,1,4,1,-,-,-,-
220935,1,-,-,-,-,-,-,-,2,-
220937,-,-,-,-,2,1,-,2,1,-
220940,-,-,-,-,7,2,-,3,1,-
220945,-,-,-,2,2,1,-,-,1,-
220950,1,-,-,-,1,-,-,-,1,-
220955,-,-,-,1,1,-,-,2,1,-
220960,-,-,-,-,2,3,-,1,1,-
220965,-,-,-,-,4,-,-,2,-,-
220970,-,-,-,1,5,3,1,-,1,-
220975,-,-,-,1,4,-,-,1,1,-
220980,1,-,-,-,2,3,-,1,1,-
220985,1,-,-,1,2,-,-,1,1,-
220987,1,-,-,1,5,1,-,1,1,-
220990,-,-,-,2,6,2,-,-,2,-
220995,-,-,-,1,2,1,-,-,1,-
220997,-,-,-,4,4,1,-,-,1,-
221000,5,-,-,15,42,15,-,4,6,-
221005,-,1,-,1,6,3,-,1,1,-
221010,-,-,-,1,4,-,-,2,2,-
221020,1,-,-,-,5,2,-,-,1,-
221030,1,-,-,-,3,-,-,2,2,-
221035,-,-,-,-,2,1,-,2,1,-
221037,-,-,-,-,-,1,-,-,1,-
221038,-,-,-,2,2,1,-,1,1,-
221039,-,-,-,2,1,2,-,-,-,-
221040,1,-,-,4,18,5,-,6,3,-
221050,2,1,-,5,13,4,-,2,1,-
221060,4,6,1,24,49,14,-,8,4,2
221062,-,-,-,-,2,1,-,1,-,-
221063,1,-,-,-,3,1,-,1,1,-
221065,-,-,-,-,5,2,-,4,1,-
221070,1,-,-,4,9,1,-,2,1,-
221080,1,1,1,10,22,5,-,3,2,-
221090,1,-,-,2,5,2,-,1,1,-
221093,-,1,-,-,5,1,-,-,1,-
221095,-,1,-,-,2,2,-,1,1,-
221097,-,-,-,1,1,1,-,-,1,-
221100,203,190,91,447,1808,542,167,206,249,193
221110,3,1,-,10,27,6,-,15,6,-
221120,3,2,-,9,17,12,1,3,3,-
221130,6,2,-,11,34,6,-,5,6,2
221135,-,-,-,-,-,1,-,1,-,-
221140,1,-,-,2,4,1,-,-,-,-
221150,1,-,-,-,1,-,-,2,1,-
221160,-,-,-,2,2,2,-,-,-,-
221170,-,-,-,-,2,-,-,1,1,-
230010,2,1,-,6,8,6,1,-,-,1
230015,1,1,-,5,18,3,-,3,1,-
230020,8,6,4,20,63,13,4,8,5,6
230030,7,5,-,8,45,9,-,6,5,3
230040,1,-,-,5,17,8,1,8,1,1
230050,2,-,-,2,17,3,-,3,1,-
230060,2,-,-,6,11,6,-,3,1,-
230070,2,2,-,7,17,6,-,1,2,-
230075,2,-,-,13,32,4,-,9,1,1
230080,-,1,-,2,6,3,-,1,1,-
230090,1,1,-,3,18,6,1,6,1,1
230100,18,22,1,67,77,14,11,27,10,2
230110,16,9,1,42,138,33,5,13,9,28
230120,4,4,2,17,44,6,-,5,3,-
230125,1,3,-,7,13,5,-,2,1,-
230130,-,-,-,2,14,3,1,3,-,2
230140,1,1,-,6,12,2,-,3,2,-
230150,-,-,-,2,6,2,-,3,2,-
230160,2,3,1,6,19,12,-,6,1,-
230170,2,3,1,7,23,5,-,4,2,1
230180,2,2,1,2,10,3,-,-,1,-
230185,4,1,-,6,17,9,1,4,3,-
230190,14,8,22,150,143,64,18,15,9,40
230195,1,1,-,17,17,6,1,6,1,1
230200,2,1,-,14,26,9,-,4,2,-
230205,1,1,-,-,19,3,-,3,1,1
230210,4,11,1,11,42,10,4,5,4,3
230220,7,1,-,13,43,12,-,11,5,4
230230,3,2,1,11,20,11,1,7,2,-
230240,5,3,1,9,34,9,1,10,2,1
230250,8,11,-,44,79,22,5,10,4,5
230260,6,2,1,32,84,9,1,8,4,3
230270,1,2,-,6,23,4,-,6,1,-
230280,12,6,1,24,81,16,2,16,4,6
230290,1,1,-,5,18,9,-,4,-,-
230300,-,2,-,6,19,3,-,3,1,-
230310,2,2,-,1,25,5,-,5,1,-
230320,4,2,-,9,26,5,-,8,2,1
230330,1,1,-,6,11,2,-,1,1,-
230340,2,5,-,9,18,3,-,-,2,-
230350,6,3,1,26,61,16,4,9,4,6
230360,5,1,2,8,14,5,-,3,2,-
230365,1,3,-,8,13,5,-,2,-,1
230370,43,14,9,88,214,48,21,62,25,29
230380,2,2,-,12,23,7,-,8,3,-
230390,3,1,-,7,14,4,-,5,2,-
230393,2,1,-,10,14,2,-,1,2,-
230395,1,1,-,5,21,3,1,5,1,-
230400,2,1,-,3,21,5,-,3,2,-
230410,20,5,6,22,79,21,2,8,13,10
230420,20,33,5,57,124,44,6,27,15,12
230423,2,2,-,4,17,4,-,2,1,1
230425,3,4,-,9,28,5,1,5,3,-
230426,1,1,-,3,11,4,-,-,1,-
230427,-,-,-,5,8,2,-,-,2,-
230428,11,2,2,84,97,30,6,18,8,10
230430,-,-,1,7,21,6,-,4,1,-
230435,2,3,-,2,30,5,1,4,4,-
230440,673,555,330,1549,5317,1651,362,421,480,852
230445,1,1,-,-,23,4,-,3,1,-
230450,-,1,-,4,15,5,-,3,2,1
230460,1,-,-,3,6,2,-,1,1,-
230465,2,1,-,2,15,7,-,2,2,-
230470,8,2,1,12,39,8,1,13,3,-
230480,1,1,-,4,7,2,-,-,1,-
230490,2,1,-,2,12,6,-,1,3,-
230495,5,1,-,4,24,5,1,2,-,-
230500,4,1,-,6,26,5,2,6,1,-
230510,-,-,-,4,9,1,-,2,1,-
230520,2,2,-,3,21,3,-,3,1,-
230523,9,8,-,39,74,14,1,17,7,9
230526,-,2,-,3,11,5,-,3,1,-
230530,4,3,-,6,32,9,-,7,4,1
230533,2,1,-,4,12,3,-,2,1,-
230535,6,1,-,4,31,7,1,6,3,1
230540,7,8,2,12,67,11,2,14,4,1
230550,22,20,3,51,128,31,4,19,10,9
230560,4,1,-,6,21,7,-,4,2,-
230565,2,1,-,3,14,2,-,2,1,-
230570,1,1,-,3,6,1,-,2,-,-
230580,5,2,1,17,59,9,-,7,3,-
230590,2,1,-,2,26,7,-,8,3,-
230600,3,2,1,8,17,3,-,2,2,-
230610,1,1,-,3,22,3,-,8,1,-
230620,1,1,-,6,13,2,-,2,1,-
230625,14,5,-,24,51,7,-,5,7,-
230630,4,2,-,11,37,8,-,10,3,-
230640,18,5,5,36,144,21,3,20,7,6
230650,1,1,-,1,12,4,1,4,2,1
230655,2,1,-,12,38,9,-,9,2,-
230660,-,1,-,-,16,7,-,9,1,-
230670,1,1,-,8,18,4,-,4,1,-
230680,-,2,-,5,12,5,-,4,1,-
230690,3,4,-,14,36,11,-,5,2,-
230700,6,2,-,7,27,3,-,5,3,-
230710,3,3,-,7,19,6,-,6,2,-
230720,1,-,-,4,6,-,-,-,-,-
230725,3,1,-,2,28,6,-,5,2,-
230730,49,60,6,156,305,122,10,26,24,24
230740,2,1,-,8,17,1,-,6,2,-
230750,2,2,-,10,18,5,-,7,-,1
230760,10,19,1,35,89,26,4,7,13,7
230763,2,-,-,1,15,8,-,7,1,-
230765,34,27,4,49,233,42,5,47,13,8
230770,10,3,1,12,55,22,2,28,8,19
230780,1,2,-,3,27,6,-,7,1,-
230790,1,-,-,3,10,2,-,2,1,-
230800,3,2,-,-,39,4,1,4,3,1
230810,2,4,-,8,32,11,-,9,7,-
230820,1,1,1,1,12,4,-,4,2,-
230830,5,1,1,7,33,6,-,5,2,-
230835,-,1,-,1,10,4,-,1,1,-
230837,-,1,-,3,13,2,-,2,2,-
230840,2,3,-,2,25,5,-,10,1,-
230850,2,2,1,5,31,8,-,9,4,1
230860,4,1,-,2,24,7,-,5,2,-
230870,7,4,3,9,46,15,-,18,6,1
230880,-,1,-,2,11,5,-,2,1,-
230890,1,1,-,4,18,3,-,3,1,-
230900,1,1,-,3,17,6,-,2,1,-
230910,1,1,-,4,14,1,-,1,1,-
230920,2,-,-,4,14,1,-,2,2,-
230930,5,2,-,8,17,13,-,2,4,-
230940,3,2,-,7,22,6,-,5,4,-
230945,5,-,-,9,26,7,1,8,4,-
230950,2,4,-,3,21,8,1,4,1,2
230960,6,2,-,14,39,18,1,13,7,-
230970,14,-,-,15,61,11,-,15,5,1
230980,1,2,-,3,13,2,-,4,1,-
230990,4,2,-,-,6,7,-,1,1,-
231000,-,2,-,1,14,3,-,1,1,-
231010,1,1,-,6,10,2,-,2,1,-
231020,5,3,-,10,23,5,-,6,2,-
231025,6,2,-,5,22,7,-,4,3,-
231030,5,2,-,7,23,18,1,4,3,-
231040,-,1,-,-,11,1,-,2,1,-
231050,7,9,-,7,38,3,1,8,2,-
231060,-,-,-,2,7,3,-,2,1,-
231070,4,2,-,13,41,7,-,9,3,1
231080,1,3,2,5,14,3,-,4,1,1
231085,-,1,-,3,24,5,-,7,1,-
231090,1,1,-,3,26,2,-,2,1,2
231095,2,1,-,-,8,3,-,3,1,-
231100,2,2,-,-,14,8,-,2,2,-
231110,-,1,-,6,15,2,-,1,2,-
231120,-,-,-,2,14,2,-,-,-,-
231123,-,1,-,2,7,1,-,2,-,-
231126,-,2,-,7,22,5,-,4,8,-
231130,17,13,1,29,103,31,1,8,13,4
231135,2,1,-,1,12,1,-,2,1,-
231140,31,22,1,17,171,52,1,12,14,2
231150,2,-,-,6,21,4,-,2,2,-
231160,2,3,-,16,33,11,-,10,7,-
231170,1,3,-,1,34,3,-,6,1,-
231180,11,7,1,12,77,30,1,7,8,4
231190,2,-,-,4,18,4,-,1,1,-
231195,2,1,-,6,17,2,-,2,1,1
231200,2,2,1,5,28,3,-,6,-,1
231210,1,-,-,5,16,4,-,4,1,-
231220,7,3,-,2,43,10,1,7,5,-
231230,4,4,-,19,56,11,1,4,6,-
231240,18,4,1,23,61,16,-,18,7,4
231250,1,1,-,3,10,3,-,2,-,-
231260,1,1,-,-,9,3,-,2,-,-
231270,5,3,-,8,19,6,-,5,2,-
231280,-,-,-,-,7,2,-,-,-,-
231290,55,57,30,140,406,108,13,37,44,46
231300,1,4,-,3,19,4,-,1,1,-
231310,5,-,1,2,37,10,-,7,6,-
231320,3,2,-,3,27,6,1,10,2,-
231325,-,-,-,1,6,1,-,1,1,-
231330,21,6,-,15,92,26,2,18,9,2
231335,1,1,-,2,10,1,-,3,-,-
231340,9,8,1,40,84,9,2,11,6,9
231350,6,3,-,3,42,8,-,12,5,-
231355,1,1,-,4,19,1,-,4,2,-
231360,2,1,-,6,38,7,-,7,1,-
231370,1,1,-,3,11,-,-,-,1,-
231375,1,1,-,3,21,5,-,4,1,-
231380,-,1,-,4,24,2,-,5,1,-
231390,1,1,-,1,16,2,-,4,2,-
231395,2,2,-,1,25,6,-,-,3,-
231400,3,2,-,13,35,5,-,8,3,2
231410,7,4,1,6,35,7,-,12,1,4
240010,1,1,-,3,6,2,-,2,2,-
240020,12,12,2,30,82,20,5,12,7,5
240030,2,1,-,4,11,2,-,-,1,-
240040,1,1,-,1,2,1,-,1,-,-
240050,-,2,-,18,24,5,2,-,5,5
240060,2,-,-,5,7,2,-,-,2,-
240070,2,1,-,4,8,6,1,4,3,-
240080,3,1,-,2,12,7,-,4,2,-
240090,-,1,-,1,5,3,-,2,1,-
240100,3,5,-,8,32,14,1,4,8,-
240110,10,3,-,4,19,17,-,3,5,1
240120,1,-,-,5,11,5,-,2,2,1
240130,-,-,-,1,4,3,-,-,1,-
240140,1,-,-,7,9,3,-,-,1,-
240145,5,1,-,3,27,6,-,7,3,-
240150,-,1,-,3,6,2,-,-,1,-
240160,-,-,-,2,4,-,-,-,-,-
240165,-,1,-,1,4,-,-,1,-,1
240170,1,2,1,4,11,3,-,1,1,-
240180,-,-,-,4,12,3,-,3,1,-
240185,1,-,-,3,7,2,-,-,3,-
240190,-,-,-,2,2,-,-,-,-,-
240200,14,23,8,27,115,25,2,13,16,14
240210,3,-,-,3,12,2,-,4,3,-
240220,3,1,-,5,28,2,-,11,3,-
240230,4,4,-,6,21,3,-,3,4,1
240240,3,1,-,4,7,1,-,1,3,-
240250,-,-,-,2,10,3,-,-,1,-
240260,14,5,-,14,49,8,2,11,9,7
240270,1,2,-,7,14,3,-,2,2,-
240280,-,1,-,1,4,2,-,2,1,-
240290,-,-,-,-,8,2,-,1,-,-
240300,1,-,-,3,3,2,-,-,-,-
240310,17,15,4,18,78,32,8,10,24,6
240320,1,1,-,3,7,2,-,-,1,-
240325,76,33,24,133,375,72,44,43,59,42
240330,-,1,-,3,7,1,1,-,1,-
240340,-,1,-,3,6,1,-,1,-,-
240350,1,1,-,-,5,3,1,4,1,-
240360,4,4,-,11,21,4,-,3,4,-
240370,-,-,-,3,6,1,-,-,2,-
240375,-,-,-,2,4,1,-,1,1,-
240380,1,1,-,2,11,3,-,-,1,-
240390,-,-,-,1,2,3,-,1,1,-
240400,1,-,-,6,6,4,-,-,2,-
240410,1,-,-,2,1,1,-,1,-,-
240420,6,2,-,11,29,10,1,6,3,1
240430,1,1,-,1,10,2,-,1,2,1
240440,-,-,-,-,8,1,-,2,1,-
240450,9,2,-,13,28,12,4,6,9,2
240460,1,1,-,4,7,2,-,3,1,-
240470,1,2,-,4,11,2,-,-,1,-
240480,1,1,-,1,2,1,-,-,1,-
240485,1,1,-,4,8,1,-,1,1,-
240490,-,-,-,4,6,-,-,-,1,-
240500,2,-,-,1,10,2,-,3,2,-
240510,1,1,-,-,6,3,-,1,1,-
240520,1,1,-,4,9,2,-,-,1,-
240530,1,-,-,3,3,1,-,-,-,-
240540,1,-,-,1,6,2,-,1,1,-
240550,-,-,-,-,1,1,-,1,1,-
240560,-,-,-,1,9,2,-,4,2,-
240570,1,-,-,7,11,3,-,2,2,-
240580,3,3,1,5,42,10,-,9,6,-
240590,-,-,-,2,2,3,-,-,-,-
240600,1,1,-,2,9,3,-,1,1,-
240610,2,1,-,4,14,3,-,2,2,-
240615,1,-,-,1,3,5,1,1,1,1
240620,1,-,-,3,6,-,-,3,-,-
240630,-,-,-,1,6,1,-,3,1,-
240640,-,1,-,3,2,-,-,-,1,-
240650,5,1,-,4,15,4,-,4,2,-
240660,2,-,-,2,10,3,-,3,2,-
240670,1,2,1,1,9,-,1,1,2,-
240680,-,-,-,3,1,1,-,-,-,-
240690,1,1,-,2,5,3,-,-,1,-
240700,1,-,-,3,10,2,-,2,2,-
240710,24,14,1,24,96,29,18,18,12,14
240720,8,1,-,2,29,5,2,5,7,-
240725,1,-,-,6,6,2,-,-,1,-
240730,1,1,-,1,6,2,-,1,1,-
240740,-,1,-,3,6,2,-,-,2,1
240750,1,1,-,-,18,5,-,3,5,-
240760,-,-,-,4,5,3,-,-,1,-
240770,1,-,-,3,11,3,-,5,2,-
240780,2,1,-,6,14,5,-,2,4,-
240790,1,1,-,3,2,1,-,1,1,-
240800,151,54,31,210,404,131,12,28,55,52
240810,236,279,122,642,1459,392,176,105,263,292
240820,5,2,-,8,23,5,-,6,5,-
240830,9,2,-,16,49,10,-,8,5,1
240840,-,1,-,2,5,1,-,-,1,-
240850,-,1,-,2,3,-,-,1,-,-
240860,1,1,-,2,4,1,-,1,1,-
240870,1,1,-,4,7,1,-,1,-,-
240880,3,1,-,-,6,2,-,1,1,-
240890,1,2,-,2,14,3,-,5,3,-
240895,2,1,-,2,15,3,-,5,1,-
240910,2,1,-,3,13,2,-,5,1,-
240920,1,-,-,-,2,3,-,-,1,-
240930,5,-,-,8,8,5,-,-,3,-
240933,1,1,-,-,6,2,-,1,1,-
240940,15,12,7,20,92,33,6,2,12,4
240950,-,-,-,1,5,1,-,-,1,-
240960,-,-,-,2,3,2,1,1,1,-
240970,1,1,-,-,11,-,-,2,1,-
240980,-,1,-,2,11,2,-,4,2,1
240990,1,-,-,3,13,3,-,-,3,-
241000,1,1,-,1,1,2,-,-,2,-
241010,-,1,-,2,9,2,1,3,1,-
241020,1,-,-,2,3,-,-,2,1,-
241025,2,-,-,1,3,1,-,1,2,-
241030,1,-,-,2,11,2,-,3,-,-
241040,1,-,-,-,12,1,-,4,1,-
241050,1,1,-,1,5,1,-,1,-,-
241060,-,-,-,1,6,1,-,-,1,-
241070,-,1,-,1,5,-,-,-,1,-
241080,2,2,-,-,2,1,-,1,1,-
241090,1,1,-,1,4,2,-,1,1,-
241100,-,1,-,-,5,2,-,1,1,-
241105,1,-,-,3,14,3,-,-,2,-
241110,-,1,-,3,3,1,-,-,1,-
241120,17,25,-,10,87,48,8,6,16,15
241140,2,1,-,-,9,3,-,5,1,-
241142,-,-,-,3,6,-,-,1,1,-
241150,6,2,5,12,39,11,1,4,5,6
241160,-,-,-,1,3,1,-,2,-,-
241170,-,-,-,2,6,-,-,-,-,-
241180,-,1,-,-,3,1,-,1,1,-
241190,-,-,-,-,3,1,-,-,1,-
